name,gender,count
Aaban,M,127
Aabha,F,67
Aabid,M,16
Aabidah,F,5
Aabir,M,19
Aabriella,F,51
Aada,F,19
Aadam,M,354
Aadan,M,136
Aadarsh,M,251
Aadav,M,24
Aadaya,F,9
Aaden,F,5
Aaden,M,5064
Aadesh,M,22
Aadhan,M,23
Aadhav,M,311
Aadhavan,M,83
Aadhi,M,109
Aadhini,F,59
Aadhira,F,265
Aadhirai,F,5
Aadhiran,M,95
Aadhrit,M,5
Aadhvi,F,5
Aadhvik,M,167
Aadhvika,F,38
Aadhya,F,3208
Aadhyan,M,34
Aadhyareddy,F,43
Aadhyasri,F,28
Aadi,F,16
Aadi,M,1126
Aadian,M,5
Aadil,M,432
Aadilynn,F,5
Aadin,M,124
Aadish,M,79
Aadison,F,11
Aadit,M,479
Aadith,M,122
Aadithya,M,19
Aaditri,F,89
Aaditya,M,681
Aadiv,M,28
Aadiya,F,17
Aadon,M,118
Aadrian,M,12
Aadrik,M,32
Aadrika,F,33
Aadrit,M,27
Aadriti,F,56
Aadvi,F,12
Aadvik,M,531
Aadvika,F,132
Aadya,F,1944
Aadyant,M,12
Aadyn,F,16
Aadyn,M,595
Aafia,F,25
Aafiya,F,102
Aafiyah,F,88
Aafreen,F,5
Aagam,M,48
Aage,M,7
Aagna,F,13
Aagot,F,5
Aagya,F,19
Aahaan,M,70
Aahan,M,561
Aahana,F,942
Aaheli,F,10
Aahid,M,10
Aahil,M,886
Aahir,M,27
Aahlani,F,5
Aahliyah,F,24
Aahna,F,119
Aahron,M,5
Aaidan,M,38
Aaiden,M,955
Aaidyn,M,71
Aaila,F,109
Aailani,F,5
Aailiyah,F,15
Aailyah,F,222
Aaima,F,120
Aaina,F,5
Aaira,F,513
Aairah,F,207
Aaisha,F,256
Aaishah,F,28
Aaiyana,F,10
Aaiza,F,47
Aaja,F,5
Aajah,F,29
Aajaylah,F,20
Aajon,M,8
Aakanksha,F,10
Aakarsh,M,58
Aakash,M,1040
Aakeem,M,16
Aakif,M,5
Aakifah,F,34
Aakil,M,29
Aakilah,F,18
Aakira,F,5
Aakiyah,F,5
Aakriti,F,69
Aala,F,139
Aalaiya,F,20
Aalaiyah,F,104
Aalam,M,32
Aalana,F,61
Aalanah,F,21
Aalani,F,297
Aalap,M,6
Aalasia,F,5
Aalaya,F,227
Aalayah,F,1222
Aalayiah,F,20
Aalayjah,F,6
Aalayna,F,40
Aalaysha,F,17
Aalaysia,F,177
Aalea,F,7
Aaleah,F,345
Aaleahya,F,21
Aaleayah,F,5
Aaleena,F,5
Aaleeya,F,5
Aaleeyah,F,152
Aaleia,F,10
Aaleiah,F,11
Aaleigha,F,183
Aaleiya,F,29
Aaleiyah,F,60
Aalena,F,5
Aalexis,F,20
Aalexus,F,6
Aaleya,F,22
Aaleyah,F,1419
Aali,M,6
Aalia,F,686
Aaliah,F,1030
Aaliana,F,23
Aalias,M,11
Aaliayah,F,129
Aaliayh,F,47
Aalicia,F,5
Aalieyah,F,5
Aaliha,F,12
Aalijah,F,149
Aalijah,M,294
Aalilah,F,5
Aalim,M,61
Aalimah,F,11
Aalin,F,5
Aalina,F,102
Aalinah,F,6
Aalisa,F,5
Aalisha,F,35
Aalivia,F,81
Aaliya,F,1525
Aaliyaa,F,5
Aaliyah,F,107314
Aaliyah,M,106
Aaliyaha,F,21
Aaliyahmarie,F,44
Aaliyahrose,F,40
Aaliyan,F,123
Aaliyan,M,34
Aaliyana,F,136
Aaliyanna,F,11
Aaliyha,F,439
Aaliyiah,F,41
Aalliyah,F,169
Aallyah,F,5
Aalok,M,15
Aalon,M,5
Aaloni,F,5
Aalya,F,67
Aalyah,F,730
Aalycia,F,25
Aalyha,F,19
Aalyia,F,5
Aalyiah,F,807
Aalyna,F,5
Aalysia,F,6
Aalyssa,F,115
Aalyvia,F,5
Aamanda,F,10
Aamanee,F,16
Aamani,F,233
Aamar,M,11
Aamara,F,12
Aamari,F,109
Aamari,M,190
Aamarion,M,10
Aamaya,F,21
Aamber,F,14
Aamena,F,10
Aamer,M,41
Aami,F,6
Aamia,F,22
Aamil,M,34
Aamilah,F,121
Aamina,F,415
Aaminah,F,517
Aamir,F,6
Aamir,M,2616
Aamira,F,478
Aamirah,F,310
Aamiya,F,62
Aamiyah,F,513
Aamna,F,244
Aamoni,F,15
Aamora,F,16
Aamorah,F,5
Aamori,F,106
Aamya,F,127
Aamyah,F,57
Aana,F,23
Aanand,M,10
Aanav,M,146
Aanay,M,33
Aanaya,F,108
Aanchal,F,72
Aang,M,5
Aani,F,6
Aania,F,63
Aaniah,F,33
Aanijah,F,5
Aanik,M,6
Aanika,F,363
Aanisah,F,39
Aaniya,F,362
Aaniyah,F,1378
Aaniylah,F,11
Aansh,M,41
Aanshi,F,167
Aanvi,F,516
Aanya,F,3607
Aanyah,F,78
Aanyla,F,7
Aapri,F,5
Aaqib,M,38
Aaqil,M,64
Aara,F,227
Aarabella,F,22
Aarabhi,F,17
Aaradhana,F,91
Aaradhy,M,5
Aaradhya,F,963
Aaraf,M,27
Aaraiz,M,6
Aaral,F,11
Aaralyn,F,1385
Aaralynn,F,309
Aaran,M,259
Aaransh,M,6
Aaranya,F,10
Aaraon,M,5
Aarash,M,5
Aaratrika,F,5
Aarav,M,7831
Aaravi,F,81
Aaravreddy,M,22
Aaraya,F,12
Aaren,F,282
Aaren,M,912
Aareon,F,10
Aareon,M,33
Aareona,F,7
Aari,F,30
Aari,M,64
Aaria,F,632
Aariaani,F,12
Aariah,F,377
Aarian,F,64
Aarian,M,185
Aariana,F,487
Aarianna,F,219
Aarib,M,96
Aaric,M,565
Aarica,F,95
Aarick,M,28
Aarie,F,10
Aariel,F,223
Aariella,F,5
Aarielle,F,54
Aarien,M,7
Aaries,M,5
Aarik,M,230
Aarika,F,898
Aariketh,M,6
Aarilyn,F,112
Aarilynn,F,15
Aarin,F,307
Aarin,M,895
Aarini,F,112
Aarion,F,146
Aarion,M,528
Aariona,F,248
Aarionna,F,147
Aaris,F,77
Aaris,M,92
Aarish,M,331
Aarit,M,149
Aariv,M,1070
Aariya,F,225
Aariyah,F,822
Aariyan,M,21
Aariyana,F,97
Aariyanna,F,14
Aariyona,F,5
Aariyonna,F,5
Aariz,M,1141
Aarjav,M,33
Aarn,M,17
Aarna,F,2711
Aarnav,M,561
Aarnavi,F,71
Aarne,M,10
Aarnik,M,69
Aarnika,F,48
Aaro,M,143
Aaroh,M,17
Aarohan,M,24
Aarohi,F,953
Aarolyn,F,11
Aaron,F,4377
Aaron,M,610370
Aarona,F,5
Aaronae,F,5
Aaronda,F,5
Aaronette,F,11
Aaronisha,F,6
Aaronjacob,M,5
Aaronjames,M,100
Aaronjohn,M,21
Aaronjoseph,M,7
Aaronjosh,M,5
Aaronjoshua,M,10
Aaronlee,M,5
Aaronmichael,M,75
Aaronn,M,22
Aaroosh,M,6
Aarren,M,5
Aarron,M,1240
Aarsh,M,103
Aarshi,F,43
Aarshiv,M,8
Aarshiya,F,5
Aarthi,F,104
Aarti,F,437
Aaruhi,F,69
Aarunya,F,20
Aarush,M,2961
Aarushi,F,841
Aarushreddy,M,23
Aarvi,F,438
Aarvik,M,102
Aarvika,F,61
Aarvin,M,42
Aary,M,5
Aarya,F,3089
Aarya,M,388
Aaryah,F,119
Aaryahi,F,67
Aaryan,F,6
Aaryan,M,2074
Aaryana,F,161
Aaryanna,F,207
Aaryanreddy,M,6
Aaryansh,M,33
